"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2013","Utuado","Adjuntas","Garzas","Ají dulce","Capsicum chinense","Quintal","200","20,000.00","9,071.84","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Utuado","Adjuntas","Garzas","Ají dulce","Capsicum chinense","Quintal","400","40,000.00","18,143.68","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2015","Utuado","Adjuntas","Garzas","Ají dulce","Capsicum chinense","Quintal","500","50,000.00","22,679.60","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2016","Utuado","Adjuntas","Garzas","Ají dulce","Capsicum chinense","Quintal","1,000","100,000.00","45,359.20","10.00","3.93","423,064.26","10.00","3.93","423,064.26","USDA plant database"
"","2015","Utuado","Adjuntas","Guayabo Dulce","Rambután","Nephelium lappaceum","Quintal","80","8,000.00","3,628.74","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2016","Utuado","Adjuntas","Guayabo Dulce","Rambután","Nephelium lappaceum","Quintal","80","8,000.00","3,628.74","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2016","Naranjito","Aibonito","Pasto","Ají dulce - en bancos","Capsicum chinense","Quintal","36","3,667.00","1,663.32","0.02","0.01","1,000.00","0.02","0.01","700.00","USDA plant database"
"","2013","Mayagüez","Aguada","Guanábano","Ají dulce","Capsicum chinense","Quintal","980","98,000.00","44,452.02","9.00","3.54","380,757.84","9.00","3.54","380,757.84","USDA plant database"
"","2014","Mayagüez","Aguada","Guanábano","Ají dulce","Capsicum chinense","Quintal","640","64,000.00","29,029.89","9.00","3.54","380,757.84","9.00","3.54","380,757.84","USDA plant database"
"","2015","Mayagüez","Aguada","Guanábano","Ají dulce","Capsicum chinense","Quintal","150","15,000.00","6,803.88","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Mayagüez","Aguada","Guanábano","Ají dulce","Capsicum chinense","Quintal","300","30,000.00","13,607.76","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Mayagüez","Aguadilla","Guerrero","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Mayagüez","Aguada","Piedras Blancas","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2014","Mayagüez","Aguada","Piedras Blancas","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Mayagüez","Aguada","Piedras Blancas","Ají dulce","Capsicum chinense","Quintal","68","6,800.00","3,084.43","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2016","Mayagüez","Aguada","Piedras Blancas","Ají dulce","Capsicum chinense","Quintal","22","2,200.00","997.90","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Mayagüez","Aguadilla","Caimital Alto","Ají dulce","Capsicum chinense","Quintal","48","4,800.00","2,177.24","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Mayagüez","Aguadilla","Caimital Alto","Ají dulce","Capsicum chinense","Quintal","48","4,800.00","2,177.24","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","Mayagüez","Aguadilla","Guerrero","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Mayagüez","Aguadilla","Palmar","Ají dulce","Capsicum chinense","Quintal","150","15,000.00","6,803.88","4.00","1.57","169,225.71","3.00","1.18","126,919.28","USDA plant database"
"","2015","Mayagüez","Aguadilla","Palmar","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2016","Ponce","Ponce","Real","Chironja","Citrus paradisi × Citrus sinensis","Millar","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2016","Mayagüez","Aguadilla","Palmar","Ají dulce","Capsicum chinense","Quintal","5","500.00","226.80","0.20","0.08","8,461.29","0.20","0.08","8,461.29","USDA plant database"
"","2016","Caguas","Aguas Buenas","Bayamoncito","Ají dulce","Capsicum chinense","Quintal","500","50,000.00","22,679.60","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Caguas","Aguas Buenas","Jagüeyes","Ají dulce","Capsicum chinense","Quintal","4","400.00","181.44","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2013","Caguas","Aguas Buenas","Sumidero","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Caguas","Aguas Buenas","Sumidero","Ají dulce","Capsicum chinense","Quintal","10","1,000.00","453.59","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Naranjito","Aibonito","Pasto","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","0.08","0.03","3,384.51","0.08","0.03","3,384.51","USDA plant database"
"","2014","Naranjito","Aibonito","Pasto","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","0.08","0.03","3,384.51","0.08","0.03","3,384.51","USDA plant database"
"","2015","Naranjito","Aibonito","Pasto","Ají dulce - en bancos","Capsicum chinense","Quintal","17","1,734.00","786.53","0.02","0.01","1,000.00","0.01","0.00","500.00","USDA plant database"
"","2016","Mayagüez","Añasco","Cerro Gordo","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","3.00","1.18","126,919.28","2.00","0.79","84,612.85","USDA plant database"
"","2014","Naranjito","Aibonito","Plata","Ají dulce - hidropónico","Capsicum chinense","Quintal","5,000","500,000.00","226,796.00","0.00","0.00","0.00","","","","USDA plant database"
"","2013","Mayagüez","Añasco","Carreras","Ají dulce","Capsicum chinense","Quintal","500","50,000.00","22,679.60","10.00","3.93","423,064.26","10.00","3.93","423,064.26","USDA plant database"
